GameID,qtr,down,SideofField,yrdln,yrdline100,posteam,DefensiveTeam,desc,Yards.Gained,Touchdown,PlayType,Passer,PassAttempt,PassOutcome,PassLength,Rusher,RushAttempt,Receiver,Reception,Pos_RB_Rush,Pos_RB_Rec,Pos_WR_Rec,Pos_TE_Rec,Pos_QB_Rush,Pos_WR_Rush,NewPos
2015101103,3,1.0,WAS,15.0,15.0,ATL,WAS,(3:24) D.Freeman right end to WAS 13 for 2 yards (B.Breeland; D.Goldson).,2,0,Run,,0,,,D.Freeman,1,,0,RB,,,,,,RB
2015101103,3,2.0,WAS,13.0,13.0,ATL,WAS,(2:39) (Shotgun) D.Freeman right tackle to WAS 10 for 3 yards (P.Smith).,3,0,Run,,0,,,D.Freeman,1,,0,RB,,,,,,RB
2015101103,3,3.0,WAS,10.0,10.0,ATL,WAS,(2:02) (Shotgun) M.Ryan pass incomplete short left to L.Hankerson.,0,0,Pass,M.Ryan,1,Incomplete Pass,Short,,0,L.Hankerson,0,,,WR,,,,WR
2015101103,4,1.0,WAS,14.0,14.0,ATL,WAS,(10:12) D.Freeman left end to WAS 3 for 11 yards (D.Goldson).,11,0,Run,,0,,,D.Freeman,1,,0,RB,,,,,,RB
2015101103,4,1.0,WAS,3.0,3.0,ATL,WAS,"(9:21) (Shotgun) D.Freeman left tackle to WAS 1 for 2 yards (C.Baker). FUMBLES (C.Baker), recovered by ATL-J.Jones at WAS 0. TOUCHDOWN.",2,1,Run,,0,,,D.Freeman,1,,0,RB,,,,,,RB
2015101103,4,,WAS,2.0,2.0,ATL,WAS,(Pass formation) TWO-POINT CONVERSION ATTEMPT. M.Ryan pass to L.Hankerson is incomplete. ATTEMPT FAILS.,0,0,Pass,M.Ryan,1,Complete,,,0,,1,,,,,,,-99
2015101103,4,1.0,ATL,2.0,2.0,WAS,ATL,"(8:05) T.Compton reported in as eligible.  M.Jones right end for 2 yards, TOUCHDOWN.",2,1,Run,,0,,,M.Jones,1,,0,RB,,,,,,RB
2015101103,4,,ATL,2.0,2.0,WAS,ATL,(Pass formation) TWO-POINT CONVERSION ATTEMPT. K.Cousins pass to P.Garcon is incomplete. ATTEMPT FAILS.,0,0,Pass,K.Cousins,1,Complete,,,0,,1,,,,,,,-99
2015101103,4,2.0,ATL,19.0,19.0,WAS,ATL,(5:04) (Shotgun) K.Cousins pass short left to C.Thompson to ATL 10 for 9 yards (P.Worrilow).,9,0,Pass,K.Cousins,1,Complete,Short,,0,C.Thompson,1,,RB,,,,,RB
2015101103,4,1.0,ATL,10.0,10.0,WAS,ATL,(4:21) T.Compton reported in as eligible.  M.Jones right tackle to ATL 6 for 4 yards (P.Worrilow).,4,0,Run,,0,,,M.Jones,1,,0,RB,,,,,,RB
2015101103,4,2.0,ATL,6.0,6.0,WAS,ATL,(3:35) M.Jones right guard to ATL 6 for no gain (P.Soliai).,0,0,Run,,0,,,M.Jones,1,,0,RB,,,,,,RB
2015101103,4,3.0,ATL,6.0,6.0,WAS,ATL,(2:49) (Shotgun) K.Cousins pass short left to J.Crowder to ATL 10 for -4 yards (P.Worrilow).,-4,0,Pass,K.Cousins,1,Complete,Short,,0,J.Crowder,1,,RB,WR,,,,WR
2015101103,4,2.0,WAS,13.0,13.0,ATL,WAS,(1:00) (Shotgun) M.Ryan pass incomplete short right to L.Hankerson (B.Breeland).,0,0,Pass,M.Ryan,1,Incomplete Pass,Short,,0,L.Hankerson,0,,,WR,,,,WR
2015101103,4,3.0,WAS,13.0,13.0,ATL,WAS,"(:56) (Shotgun) M.Ryan pass short right to D.Freeman for 13 yards, TOUCHDOWN. The Replay Official reviewed the pass completion ruling, and the play was REVERSED. (Shotgun) M.Ryan pass incomplete short right to D.Freeman.",13,1,Pass,M.Ryan,1,Incomplete Pass,Short,,0,D.Freeman,0,,RB,,,,,RB
